2025-05-05 11:25:25.314 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1883 ms
2025-05-05 11:40:34.015 [scheduled-task-13] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5521c652
2025-05-05 11:40:34.015 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4ce0dbf0
2025-05-05 11:40:34.015 [scheduled-task-12] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@67ed4ec4
2025-05-05 11:40:34.015 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@27278448
2025-05-05 11:40:34.015 [scheduled-task-17] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1dd4dbd5
2025-05-05 11:41:28.808 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 2289 ms
2025-05-05 11:42:29.345 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1758 ms
2025-05-05 11:42:32.010 [scheduled-task-12] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@c84186a
2025-05-05 11:42:32.010 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@26642838
2025-05-05 11:42:32.010 [scheduled-task-15] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3844f254
2025-05-05 11:42:32.010 [scheduled-task-20] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@709ab28f
2025-05-05 11:42:32.011 [scheduled-task-8] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5b04ae10
2025-05-05 11:42:32.011 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5004bebf
2025-05-05 11:42:32.011 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@6c94faeb
2025-05-05 11:42:32.011 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@9c164ac
2025-05-05 11:42:32.011 [scheduled-task-18] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@2ee4e658
2025-05-05 11:42:32.011 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@27df33c4
2025-05-05 12:43:48.003 [scheduled-task-8] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@340eb216
2025-05-05 12:43:48.003 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@12c3e92c
2025-05-05 12:43:48.003 [scheduled-task-9] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@25bade33
2025-05-05 12:43:48.003 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5206e029
2025-05-05 12:43:48.003 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@2dbdf9c3
2025-05-05 12:43:48.003 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@72d6cdbe
2025-05-05 12:43:48.003 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@e39672c
2025-05-05 12:43:48.003 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5faae8c1
2025-05-05 12:43:48.003 [scheduled-task-3] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@31679d42
2025-05-05 12:43:48.004 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4a4c6854
2025-05-05 12:44:06.923 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1021 ms
2025-05-05 12:45:12.818 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m6s203ms335µs200ns).
2025-05-05 12:45:14.011 [scheduled-task-38] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@6e8bf667
2025-05-05 12:45:14.011 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@36f7dd8f
2025-05-05 12:45:14.011 [scheduled-task-24] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@30d905eb
2025-05-05 12:45:14.011 [scheduled-task-17] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1ceb9d78
2025-05-05 12:45:14.011 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@7639177f
2025-05-05 12:45:14.011 [scheduled-task-29] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@10c3b292
2025-05-05 12:45:14.011 [scheduled-task-26] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@6f7d22b9
2025-05-05 12:45:14.011 [scheduled-task-33] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4bb3b4fe
2025-05-05 12:45:14.011 [scheduled-task-40] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@12ab93f8
2025-05-05 12:45:14.011 [scheduled-task-22] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@6f434571
2025-05-05 12:45:30.000 [scheduled-task-9] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@46edfef8
2025-05-05 12:45:30.002 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3bc44125
2025-05-05 12:45:30.002 [scheduled-task-19] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3215bc9b
2025-05-05 12:45:30.002 [scheduled-task-16] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@192faf4a
2025-05-05 12:45:30.002 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5d38507
2025-05-05 12:45:30.000 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4ce0dbf0
2025-05-05 12:45:30.002 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@47008aa9
2025-05-05 12:45:30.000 [scheduled-task-20] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@39e5d261
2025-05-05 12:45:30.000 [scheduled-task-17] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@a43607e
2025-05-05 12:45:30.002 [scheduled-task-14] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@37006e59
2025-05-05 12:48:44.009 [scheduled-task-8] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@3ac94b3f
2025-05-05 12:48:44.010 [scheduled-task-3] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@31679d42
2025-05-05 12:48:44.009 [scheduled-task-1] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@1c0414dc
2025-05-05 12:48:44.009 [scheduled-task-6] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4a4c6854
2025-05-05 12:48:44.009 [scheduled-task-9] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@2b7d352c
2025-05-05 12:48:44.010 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@2dbdf9c3
2025-05-05 12:48:44.010 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@72d6cdbe
2025-05-05 12:48:44.010 [scheduled-task-7] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5cc115c1
2025-05-05 12:48:44.011 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@e39672c
2025-05-05 12:48:44.011 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@5faae8c1
2025-05-05 12:52:26.906 [main] WARN  com.teak.blog.ServiceMonitorAspect - SysScheduledTaskServiceImpl.findByStatus(..) 超时警告！耗时 1096 ms
2025-05-05 12:52:28.000 [scheduled-task-2] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4fadc81c
2025-05-05 12:52:28.000 [scheduled-task-10] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@615ae13d
2025-05-05 12:52:28.000 [scheduled-task-4] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4f4fb732
2025-05-05 12:52:28.000 [scheduled-task-5] WARN  com.teak.blog.config.AsyncConfig - 线程池已关闭，拒绝新任务: com.alibaba.ttl.TtlRunnable - java.util.concurrent.CompletableFuture$AsyncRun@4bedf2c8
